128,,,,,,,256,,,,,,,512,,,,,,,1024,,,,,,,2048,,,,,,,4096,,,,,,,8192,,,,,,
,FSC,TTTD,AE,RABIN,FastCDC,CIDL,,FSC,TTTD,AE,RABIN,FastCDC,CIDL,,FSC,TTTD,AE,RABIN,FastCDC,CIDL,,FSC,TTTD,AE,RABIN,FastCDC,CIDL,,FSC,TTTD,AE,RABIN,FastCDC,CIDL,,FSC,TTTD,AE,RABIN,FastCDC,CIDL,,FSC,TTTD,AE,RABIN,FastCDC,CIDL
throuthput,12.4,11.6,12.3,10.8,12.4,19.7,throuthput,18.2,16.2,17.2,14.3,18.3,29.4,throuthput,24.3,20.6,19.9,15.8,24.4,27.6,throuthput,23.9,16.5,21.5,14.4,18.7,38.2,throuthput,19.1,12,17.5,11.6,18.6,23,throuthput,15.3,11.5,13.7,11.5,15.1,18.7,throuthput,11.1,10.1,12,8.3,13,15.8
dedupRatio,4.5,4.79,4.67,4.81,4.69,85.41,dedupRatio,5,5.77,5.22,5.75,5.4,87.58,dedupRatio,4.62,7.07,5.01,7.05,6.1,89.82,dedupRatio,6.17,14.32,10.1,14.33,11.41,90.55,dedupRatio,8.98,27.39,19.62,26.19,22.72,90.49,dedupRatio,17.58,41.8,49.96,39.59,35.62,92.87,dedupRatio,66.79,62.33,69.31,59.28,58.31,95.62
time,11.169,11.936,11.269,12.874,11.198,7.019,time,14.439,16.191,15.247,18.278,14.365,8.862,time,21.031,24.713,25.631,32.138,20.947,18.416,time,42.055,60.542,46.659,69.54,53.764,26.034,time,104.22,164.603,113.79,170.396,106.757,85.611,time,258.709,343.756,287.808,342.162,261.846,209.871,time,709.403,778.378,654.792,942.453,604.911,494.591
hash/meta num,1169108,1171321,1157354,1161450,1147875,1457637,hash/meta num,1404806,1376169,1385171,1358496,1342678,1751550,hash/meta num,1891767,1734472,1770310,1684503,1717615,2053228,hash/meta num,2824786,2463647,2490268,2381557,2380525,2354323,hash/meta num,5317722,3736874,3744119,3592128,3742064,2869981,hash/meta num,10336299,6073654,6979923,5814699,6284659,5406920,hash/meta num,10094370,7978262,8067184,7801120,8145770,7488292
